Aircraft ID,Distance sonometro [NM],Aircraft latitude [°],Aircraft longitude [°],Time [hh:mm:ss:fff],SID,Group SID,Aircraft type,Airline
"EWG1BL","0,89341578304043","41,25890859486089","2,057337830232244","08:00:04:375","OLOXO1Q","SID_24_1","A320","Eurowings"
"VOE23TA","0,50977842492761","41,26895137358815","2,0583240592090752","08:01:04:484","GRAUS5Q","SID_24_1","A319","Volotea"
"TRA3A","0,29219936251111","41,26941855888466","2,053300972177861","08:02:24:554","OLOXO1Q","SID_24_1","B738","Transavia"
"VLG836M","0,381155953013251","41,2701041393127","2,0558418658607103","08:04:28:585","DIPES1Q","SID_24_3","A320","Vueling"
"AAL743","0,403190727699137","41,269801909405324","2,056225083321681","08:05:48:617","LOBAR6Q","SID_24_1","B788","American Airlines"
"AFR67FJ","0,834139712120828","41,26993001608334","2,066020522180433","08:08:24:601","OLOXO1Q","SID_24_1","BCS3","Air France"
"SWR71LU","0,444975602181978","41,27020960047298","2,057340740224342","08:10:00:710","DALIN4Q","SID_24_3","A321","Swiss International Air Lines"
"AUA39H","0,69840397329886","41,26896206142788","2,0626999297488107","08:11:40:695","AGENA5Q","SID_24_3","A321","Austrian Airlines"
"N501MG","0,529912141055359","41,26797669122784","2,0582435221473085","08:14:44:796","SENIA5Q","SID_24_2","GLEX","Unknown"
"IBE30KE","0,799949535257031","41,26913614644616","2,065062870968868","08:16:20:789","SENIA5Q","SID_24_2","A20N","Iberia"
"VLG9ZT","0,695914413220208","41,26940008570807","2,0627853863134513","08:18:04:851","LOTOS5Q","SID_24_2","A320","Vueling"
"RYR87QD","0,328085802252836","41,2709398805505","2,0549064031151736","08:19:32:960","AGENA5Q","SID_24_3","B38M","Ryanair"
"BAW473","0,755551822392053","41,269665325066256","2,0642023356387202","08:20:40:906","NATPI2Q","SID_24_1","A21N","British Airways"
"ASL79V","0,509332543334862","41,269340581115266","2,05849361177687","08:22:20:984","DIPES1Q","SID_24_3","A320","ASL Airlines"
"FIN07RT","0,683717835126937","41,268437448633854","2,0621573237386723","08:23:56:984","AGENA5Q","SID_24_3","A321","Finnair"
"RUK69FL","0,373246122737623","41,27071152312236","2,0558643971605086","08:29:53:195","NATPI2Q","SID_24_1","B738","RusJet"
"VLG6LR","0,624693207971342","41,27019355022045","2,0613891459973472","08:31:09:179","AGENA5Q","SID_24_3","A20N","Vueling"
"WMT79","0,578343227453169","41,268362334134586","2,0596464826274103","08:40:05:375","AGENA5Q","SID_24_3","A21N","Wizz Air Malta"
"EZY16QD","0,54749349422042","41,26782502544366","2,0585772372299416","08:41:25:398","NATPI2Q","SID_24_1","A320","easyJet"
"VLG2KX","0,612557843350312","41,268469165163296","2,060509516013624","08:42:41:421","OLOXO1Q","SID_24_1","A321","Vueling"
"RYR9ZC","0,399556166578243","41,27070228771387","2,0564545778974908","08:44:17:515","SENIA5Q","SID_24_2","B738","Ryanair"
"RYR17TT","0,500968000577742","41,26933004634749","2,058294636432059","08:45:41:515","AGENA5Q","SID_24_3","B738","Ryanair"
"IBE30HR","0,528174626040962","41,270127524641","2,059201147750499","08:47:01:546","SENIA5Q","SID_24_2","A320","Iberia"
"RYR49YA","0,470243766993972","41,269148113897295","2,05748836611326","08:48:21:578","DIPES1Q","SID_24_3","B738","Ryanair"
"VLG7SV","0,581802116247811","41,26812805228981","2,0596006801875686","08:49:41:585","OLOXO1Q","SID_24_1","A20N","Vueling"
"EJU43XT","0,503343763973556","41,26787979976579","2,057511770218548","08:51:37:632","OLOXO1Q","SID_24_1","A320","easyJet Europe"
"VLG6TM","0,583141614906382","41,26968574810513","2,0603145844405826","08:53:01:664","DIPES1Q","SID_24_3","A321","Vueling"
"TRA35B","0,50030906871736","41,26938388168509","2,0583025558804633","08:54:09:718","OLOXO1Q","SID_24_1","B738","Transavia"
"ELY394","0,606907039208311","41,27121445536361","2,061157613291201","08:55:09:726","DIPES1Q","SID_24_3","B739","El Al Israel Airlines"
"WZZ4","0,604505626401937","41,270059093999436","2,060903557515799","08:56:49:750","AGENA5Q","SID_24_3","A21N","Wizz Air"
"EZY51EZ","0,484324320033954","41,27007346203406","2,0581918115217497","09:01:45:875","NATPI2Q","SID_24_1","A319","easyJet"
"RYR33SC","0,473177811464025","41,269139791733025","2,057553598631811","09:04:13:921","LOTOS5Q","SID_24_2","B738","Ryanair"
"VLG15H","0,542933725205638","41,26838157881364","2,058810078232133","09:06:21:953","NATPI2Q","SID_24_1","A320","Vueling"
"N99ZM","0,47583778224677","41,26898953742114","2,0575389129071056","09:09:10:031","LARPA5Q","SID_24_2","GLEX","Unknown"
"UAE255","0,344853986635504","41,26805435250668","2,053391645805096","09:11:14:093","LOBAR6Q","SID_24_1","B77L","Emirates"
"N158QS","0,197329931519706","41,268942717090525","2,0495650135164563","09:13:54:179","GRAUS5Q","SID_24_1","GLEX","Unknown"
"ETD35Q","0,355794491490426","41,270126262387194","2,0552637375714555","09:16:22:218","DIPES1Q","SID_24_3","B789","Etihad Airways"
"MAC374R","0,608857230624046","41,268700800691555","2,060530158665165","09:18:54:210","LOTOS5Q","SID_24_2","A320","Air Macau"
"RYR67DP","0,513872094232803","41,27123861248972","2,059097596208588","09:20:34:281","AGENA5Q","SID_24_3","B738","Ryanair"
"AHO647A","0,242914839382517","41,268825567042676","2,0512041671512127","09:22:14:343","OLOXO1Q","SID_24_1","E35L","Air Hamburg"
"EZY83DL","0,593630333957814","41,26979216607984","2,060585087124527","09:26:02:367","NATPI2Q","SID_24_1","A320","easyJet"
"KLM86N","0,22526258213083","41,2703260638321","2,0522712287820815","09:27:38:468","OLOXO1Q","SID_24_1","B738","KLM Royal Dutch Airlines"
"VLG7PC","0,580466979895965","41,2684265215216","2,0597305970892115","09:29:02:421","LOTOS5Q","SID_24_2","A321","Vueling"
"VLG4YH","0,68549824428436","41,26876226655985","2,0623304566760177","09:30:38:437","LARPA5Q","SID_24_2","A320","Vueling"
